SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2,
,electricity,0.76,0.06,0.05,0.03,0.04,0.02,0.04,N/A,0.02,1,0.28,0.74,0.04,0.04,-0.01,0.03,0,0.74,0.18,0.27,0.185,0.231,0.1275,,,,,
,metal,0.19,0.03,0.03,0.04,0.05,0.08,0.1,N/A,0.02,0.28,1,0.29,0.03,0.06,0.02,0.17,0.02,0.29,0.22,0.21,0.118333333,0.145555556,0.091111111,,,,,
,wires,0.77,0.06,0.02,0.04,0.03,0.02,0.03,N/A,-0.01,0.74,0.29,1,0.01,0.02,0.01,0.08,-0.02,1,0.31,0.43,0.212777778,0.23,0.199,,,,,
,food,0.07,0.37,0.24,0.18,0.08,0.07,0.09,N/A,0.24,0.04,0.03,0.01,1,0.17,0.14,0.15,-0.02,0.01,0.04,0.05,0.108888889,0.077142857,0.129090909,,,,,
,breakfast,0.17,0.51,0.5,0.59,0.24,0.21,0.23,N/A,0.42,0.04,0.06,0.02,0.17,1,0.27,0.37,-0.03,0.02,0.03,-0.03,0.210555556,0.105,0.263333333,,,,,
,cinnamon,0.1,0.36,0.43,0.32,0.15,0.11,0.24,N/A,0.39,-0.01,0.02,0.01,0.14,0.27,1,0.7,0.06,0.01,0.04,-0.01,0.185,0.16,0.194615385,,,,,
,cinnamon rolls,0.15,0.43,0.48,0.4,0.23,0.18,0.28,N/A,0.46,0.03,0.17,0.08,0.15,0.37,0.7,1,0.03,0.08,0.16,0.09,0.248333333,0.09,0.293571429,,,,,
,yum,-0.02,0.03,0.08,0.08,0.1,-0.01,-0.01,N/A,0.07,0,0.02,-0.02,-0.02,-0.03,0.06,0.03,1,-0.02,0.06,0.03,0.023888889,0.023333333,0.024,,,,,
,wires,0.77,0.06,0.02,0.04,0.03,0.02,0.03,N/A,-0.01,0.74,0.29,1,0.01,0.02,0.01,0.08,-0.02,1,0.31,0.43,0.212777778,0.37,0.193125,,,,,
,plugs,0.21,0.04,0.04,0.08,0.15,0.02,0.05,N/A,-0.01,0.18,0.22,0.31,0.04,0.03,0.04,0.16,0.06,0.31,1,0.48,0.133888889,0.48,0.113529412,,,,,
,outlet,0.3,0.05,0.03,0.06,0.06,0.05,0.02,N/A,0.01,0.27,0.21,0.43,0.05,-0.03,-0.01,0.09,0.03,0.43,0.48,1,0.140555556,,0.140555556,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.179590643,0.185325388,0.214629995,,,,,
100,Document,toaster,toast,bread,butter,breakfast,lunch,dinner,jelly,electronic,bagel,timer,peanut butter,ding,food,milk,sandwich,apple,dog,fork,spoon,,,,,,,1,
,toaster,1,0.33,0.21,0.21,0.17,0.09,0.09,0.09,0.08,N/A,0.06,0.19,0.08,0.07,0.12,0.17,0.07,0,0.03,0.22,0.126666667,0.126666667,,0.32,0.265625,0.252,,
,toast,0.33,1,0.59,0.6,0.76,0.55,0.59,0.45,-0.01,N/A,0.07,0.59,0.12,0.16,0.49,0.61,0.28,0.07,0.32,0.49,0.392222222,0.395882353,0.33,,,,,
,bread,0.21,0.59,1,0.77,0.51,0.39,0.44,0.43,0,N/A,0.01,0.77,0.02,0.37,0.64,0.56,0.37,0.04,0.27,0.38,0.376111111,0.373125,0.4,,,,,
,butter,0.21,0.6,0.77,1,0.5,0.45,0.42,0.44,0.01,N/A,0.02,0.98,0.03,0.24,0.78,0.63,0.34,0.03,0.29,0.39,0.396111111,0.37,0.526666667,,,,,
,breakfast,0.17,0.76,0.51,0.5,1,0.62,0.65,0.35,0.01,N/A,0.07,0.49,0.22,0.17,0.38,0.57,0.26,0.05,0.31,0.4,0.360555556,0.325,0.485,,,,,
,lunch,0.09,0.55,0.39,0.45,0.62,1,0.6,0.39,0.03,N/A,0.08,0.49,0.14,0.2,0.35,0.7,0.28,0.09,0.33,0.33,0.339444444,0.308461538,0.42,,,,,
,dinner,0.09,0.59,0.44,0.42,0.65,0.6,1,0.34,0,N/A,0.1,0.42,0.12,0.21,0.24,0.5,0.35,0.12,0.44,0.45,0.337777778,0.274166667,0.465,,,,,
,jelly,0.09,0.45,0.43,0.44,0.35,0.39,0.34,1,0.03,N/A,0.04,0.45,0.11,0.14,0.32,0.48,0.23,0.11,0.2,0.36,0.275555556,0.224545455,0.355714286,,,,,
,electronic,0.08,-0.01,0,0.01,0.01,0.03,0,0.03,1,N/A,0.15,0.01,0.08,0.01,0,0.1,0.12,0.01,0.05,-0.03,0.036111111,0.05,0.01875,,,,,
,bagel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,timer,0.06,0.07,0.01,0.02,0.07,0.08,0.1,0.04,0.15,N/A,1,0.01,0.09,0.05,0.05,0.01,0.04,0.04,0.14,0.06,0.060555556,0.054444444,0.066666667,,,,,
,peanut butter,0.19,0.59,0.77,0.98,0.49,0.49,0.42,0.45,0.01,N/A,0.01,1,0.01,0.25,0.74,0.67,0.35,0.04,0.28,0.38,0.395555556,0.34,0.44,,,,,
,ding,0.08,0.12,0.02,0.03,0.22,0.14,0.12,0.11,0.08,N/A,0.09,0.01,1,0,0.06,0.03,0.03,0.06,0.15,0.13,0.082222222,0.065714286,0.092727273,,,,,
,food,0.07,0.16,0.37,0.24,0.17,0.2,0.21,0.14,0.01,N/A,0.05,0.25,0,1,0.22,0.3,0.14,0.06,0.14,0.18,0.161666667,0.173333333,0.155833333,,,,,
,milk,0.12,0.49,0.64,0.78,0.38,0.35,0.24,0.32,0,N/A,0.05,0.74,0.06,0.22,1,0.49,0.2,0.02,0.16,0.28,0.307777778,0.23,0.337692308,,,,,
,sandwich,0.17,0.61,0.56,0.63,0.57,0.7,0.5,0.48,0.1,N/A,0.01,0.67,0.03,0.3,0.49,1,0.28,0.08,0.33,0.38,0.382777778,0.2675,0.415714286,,,,,
,apple,0.07,0.28,0.37,0.34,0.26,0.28,0.35,0.23,0.12,N/A,0.04,0.35,0.03,0.14,0.2,0.28,1,0.06,0.24,0.26,0.216666667,0.186666667,0.222666667,,,,,
,dog,0,0.07,0.04,0.03,0.05,0.09,0.12,0.11,0.01,N/A,0.04,0.04,0.06,0.06,0.02,0.08,0.06,1,0.11,0.07,0.058888889,0.09,0.055,,,,,
,fork,0.03,0.32,0.27,0.29,0.31,0.33,0.44,0.2,0.05,N/A,0.14,0.28,0.15,0.14,0.16,0.33,0.24,0.11,1,0.48,0.237222222,0.48,0.222941176,,,,,
,spoon,0.22,0.49,0.38,0.39,0.4,0.33,0.45,0.36,-0.03,N/A,0.06,0.38,0.13,0.18,0.28,0.38,0.26,0.07,0.48,1,0.289444444,,0.289444444,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.254385965,0.240861467,0.294727804,,,,,
101,Document,toaster,toast,bread,cows,udders,milk,chocolate,candy,blow jobs,penis,fun,trampoline,bounce,ball,bat,vampire,blood,sanguinary,wine,cup,,,,,,,1,
,toaster,1,0.33,0.21,0.03,-0.09,0.12,0.13,0.16,0.03,0,0.09,0.03,0.07,0.02,-0.01,0.02,-0.01,0.01,0,0.13,0.066842105,0.066842105,,0.298947368,0.157222222,0.108235294,,
,toast,0.33,1,0.59,0.22,0.11,0.49,0.5,0.35,0.08,0.01,0.14,0,0.04,0.01,0.02,0.11,0.01,0.09,0.28,0.63,0.211052632,0.204444444,0.33,,,,,
,bread,0.21,0.59,1,0.32,0.06,0.64,0.53,0.43,0.09,-0.02,0.1,0.02,0,0.05,0.03,0.03,0.02,0.06,0.3,0.46,0.206315789,0.183529412,0.4,,,,,
,cows,0.03,0.22,0.32,1,0.29,0.61,0.18,0.12,0.07,0,0.09,-0.02,0,0.01,0.04,0.18,0.03,-0.04,0.12,0.09,0.123157895,0.110625,0.19,,,,,
,udders,-0.09,0.11,0.06,0.29,1,0.18,0.13,0,0.05,-0.03,0.02,0.12,0.04,0.03,0.01,-0.01,0.02,-0.03,0.15,0.15,0.063157895,0.055333333,0.0925,,,,,
,milk,0.12,0.49,0.64,0.61,0.18,1,0.49,0.38,0.07,0.01,0.07,-0.01,0.01,0.03,0.05,0.11,0.05,0.02,0.21,0.33,0.203157895,0.13,0.408,,,,,
,chocolate,0.13,0.5,0.53,0.18,0.13,0.49,1,0.62,0,0,0.16,0.04,0,0.05,0.02,0.04,0.02,0.02,0.27,0.43,0.191052632,0.128461538,0.326666667,,,,,
,candy,0.16,0.35,0.43,0.12,0,0.38,0.62,1,0.09,0,0.33,0.07,0.01,0.06,0.07,0.09,0.03,0.01,0.15,0.27,0.170526316,0.098333333,0.294285714,,,,,
,blow jobs,0.03,0.08,0.09,0.07,0.05,0.07,0,0.09,1,0,0.14,0,0.12,0.05,0.05,0.07,0.07,0.02,0.07,0.12,0.062631579,0.064545455,0.06,,,,,
,penis,0,0.01,-0.02,0,-0.03,0.01,0,0,0,1,0.02,0.07,0.02,0.03,-0.03,-0.08,0.05,0,-0.03,0.04,0.003157895,0.009,-0.003333333,,,,,
,fun,0.09,0.14,0.1,0.09,0.02,0.07,0.16,0.33,0.14,0.02,1,0.19,0.19,0.23,0.22,0.01,0.01,0.05,0.04,0.07,0.114210526,0.112222222,0.116,,,,,
,trampoline,0.03,0,0.02,-0.02,0.12,-0.01,0.04,0.07,0,0.07,0.19,1,0.07,0,-0.03,0.08,-0.01,0.01,0.1,0.08,0.042631579,0.0375,0.046363636,,,,,
,bounce,0.07,0.04,0,0,0.04,0.01,0,0.01,0.12,0.02,0.19,0.07,1,0.64,0.61,0.13,0.07,-0.01,-0.03,0.13,0.111052632,0.22,0.0475,,,,,
,ball,0.02,0.01,0.05,0.01,0.03,0.03,0.05,0.06,0.05,0.03,0.23,0,0.64,1,0.84,0.07,0.01,-0.04,0.03,0.09,0.116315789,0.166666667,0.093076923,,,,,
,bat,-0.01,0.02,0.03,0.04,0.01,0.05,0.02,0.07,0.05,-0.03,0.22,-0.03,0.61,0.84,1,0.27,0.03,-0.01,0,0.08,0.118947368,0.074,0.135,,,,,
,vampire,0.02,0.11,0.03,0.18,-0.01,0.11,0.04,0.09,0.07,-0.08,0.01,0.08,0.13,0.07,0.27,1,0.15,0,0.03,-0.02,0.067368421,0.04,0.074666667,,,,,
,blood,-0.01,0.01,0.02,0.03,0.02,0.05,0.02,0.03,0.07,0.05,0.01,-0.01,0.07,0.01,0.03,0.15,1,0,0.06,0.1,0.037368421,0.053333333,0.034375,,,,,
,sanguinary,0.01,0.09,0.06,-0.04,-0.03,0.02,0.02,0.01,0.02,0,0.05,0.01,-0.01,-0.04,-0.01,0,0,1,0.18,0.05,0.020526316,0.115,0.009411765,,,,,
,wine,0,0.28,0.3,0.12,0.15,0.21,0.27,0.15,0.07,-0.03,0.04,0.1,-0.03,0.03,0,0.03,0.06,0.18,1,0.41,0.123157895,0.41,0.107222222,,,,,
,cup,0.13,0.63,0.46,0.09,0.15,0.33,0.43,0.27,0.12,0.04,0.07,0.08,0.13,0.09,0.08,-0.02,0.1,0.05,0.41,1,0.191578947,,0.191578947,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.112210526,0.119991413,0.153429737,,,,,
102,Document,toaster,sandwich,ham,egg,lettuce,ketchup,bread,bagel,cream cheese,cheese,lunch,bacon,milk,cookie,ice cream,coffee,chocolate,hazelnut,syrup,sweets,,,,,,,2,
,toaster,1,0.17,0.1,0.08,0.11,0.06,0.21,N/A,0.16,0.14,0.09,0.14,0.12,0.07,0.1,0.17,0.13,0.02,0.15,0.06,0.115555556,0.115555556,,0.286470588,0.328125,0.379333333,,
,sandwich,0.17,1,0.4,0.17,0.42,0.3,0.56,N/A,0.53,0.54,0.7,0.42,0.49,0.53,0.2,0.41,0.55,0.11,0.32,0.27,0.393888889,0.407058824,0.17,,,,,
,ham,0.1,0.4,1,0.19,0.25,0.45,0.42,N/A,0.37,0.4,0.51,0.43,0.41,0.19,0.09,0.35,0.34,0.05,0.22,0.09,0.292222222,0.2975,0.25,,,,,
,egg,0.08,0.17,0.19,1,0.07,0.02,0.2,N/A,0.18,0.19,0.16,0.27,0.27,0.1,0.04,0.09,0.1,0.04,0.11,0.06,0.13,0.126666667,0.146666667,,,,,
,lettuce,0.11,0.42,0.25,0.07,1,0.15,0.59,N/A,0.56,0.59,0.31,0.33,0.41,0.26,0.22,0.29,0.48,0.06,0.42,0.16,0.315555556,0.345,0.2125,,,,,
,ketchup,0.06,0.3,0.45,0.02,0.15,1,0.17,N/A,0.24,0.22,0.42,0.2,0.15,0.27,0.07,0.29,0.3,0.11,0.11,0.04,0.198333333,0.199230769,0.196,,,,,
,bread,0.21,0.56,0.42,0.2,0.59,0.17,1,N/A,0.71,0.81,0.39,0.53,0.64,0.37,0.22,0.38,0.53,0.07,0.49,0.26,0.419444444,0.45,0.358333333,,,,,
,bagel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,cream cheese,0.16,0.53,0.37,0.18,0.56,0.24,0.71,N/A,1,0.87,0.41,0.47,0.73,0.45,0.65,0.37,0.77,0.11,0.55,0.34,0.470555556,0.52,0.392857143,,,,,
,cheese,0.14,0.54,0.4,0.19,0.59,0.22,0.81,N/A,0.87,1,0.38,0.51,0.82,0.4,0.29,0.34,0.59,0.03,0.5,0.38,0.444444444,0.424,0.47,,,,,
,lunch,0.09,0.7,0.51,0.16,0.31,0.42,0.39,N/A,0.41,0.38,1,0.38,0.35,0.44,0.17,0.42,0.48,0.19,0.21,0.19,0.344444444,0.314444444,0.374444444,,,,,
,bacon,0.14,0.42,0.43,0.27,0.33,0.2,0.53,N/A,0.47,0.51,0.38,1,0.43,0.24,0.14,0.53,0.44,0.12,0.35,0.13,0.336666667,0.2975,0.368,,,,,
,milk,0.12,0.49,0.41,0.27,0.41,0.15,0.64,N/A,0.73,0.82,0.35,0.43,1,0.34,0.24,0.29,0.49,-0.02,0.4,0.3,0.381111111,0.291428571,0.438181818,,,,,
,cookie,0.07,0.53,0.19,0.1,0.26,0.27,0.37,N/A,0.45,0.4,0.44,0.24,0.34,1,0.24,0.33,0.46,0.15,0.27,0.31,0.301111111,0.293333333,0.305,,,,,
,ice cream,0.1,0.2,0.09,0.04,0.22,0.07,0.22,N/A,0.65,0.29,0.17,0.14,0.24,0.24,1,0.15,0.53,0.1,0.3,0.11,0.214444444,0.238,0.205384615,,,,,
,coffee,0.17,0.41,0.35,0.09,0.29,0.29,0.38,N/A,0.37,0.34,0.42,0.53,0.29,0.33,0.15,1,0.48,0.24,0.46,0.09,0.315555556,0.3175,0.315,,,,,
,chocolate,0.13,0.55,0.34,0.1,0.48,0.3,0.53,N/A,0.77,0.59,0.48,0.44,0.49,0.46,0.53,0.48,1,0.15,0.49,0.31,0.423333333,0.316666667,0.444666667,,,,,
,hazelnut,0.02,0.11,0.05,0.04,0.06,0.11,0.07,N/A,0.11,0.03,0.19,0.12,-0.02,0.15,0.1,0.24,0.15,1,0.02,0.07,0.09,0.045,0.095625,,,,,
,syrup,0.15,0.32,0.22,0.11,0.42,0.11,0.49,N/A,0.55,0.5,0.21,0.35,0.4,0.27,0.3,0.46,0.49,0.02,1,0.28,0.313888889,0.28,0.315882353,,,,,
,sweets,0.06,0.27,0.09,0.06,0.16,0.04,0.26,N/A,0.34,0.38,0.19,0.13,0.3,0.31,0.11,0.09,0.31,0.07,0.28,1,0.191666667,,0.191666667,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.299590643,0.293271379,0.297561296,,,,,
103,Document,toaster,toast,butter knife,butter,crumbs,napkin,trash,plate,table,crunch crunch,crumbs,jelly,sticky,water,sponge,dry rack,cold floor,warm carpet,couch,blanket,,,,,,,5,
,toaster,1,0.33,0.21,0.21,0.13,0.04,0.07,-0.01,0.06,0.05,0.13,0.09,0.09,0.07,-0.05,0.13,0.07,0.13,0.07,0.06,0.098947368,0.098947368,,0.356315789,0.288888889,0.271764706,,
,toast,0.33,1,0.56,0.6,0.54,0.55,0.06,0.24,0.43,0.14,0.54,0.45,0.17,0.12,0.04,0.19,0.3,0.31,0.36,0.31,0.328421053,0.328333333,0.33,,,,,
,butter knife,0.21,0.56,1,0.84,0.56,0.45,0.11,0.27,0.35,0.25,0.56,0.37,0.25,0.15,0.16,0.21,0.2,0.19,0.19,0.21,0.320526316,0.312941176,0.385,,,,,
,butter,0.21,0.6,0.84,1,0.55,0.38,0.09,0.19,0.27,0.15,0.55,0.44,0.23,0.11,0.14,0.15,0.17,0.16,0.14,0.12,0.288947368,0.24,0.55,,,,,
,crumbs,0.13,0.54,0.56,0.55,1,0.49,0.13,0.27,0.29,0.19,1,0.43,0.15,0.17,0.1,0.21,0.25,0.26,0.21,0.29,0.327368421,0.296,0.445,,,,,
,napkin,0.04,0.55,0.45,0.38,0.49,1,0.09,0.47,0.63,0.05,0.49,0.26,0.14,0.04,0.09,0.16,0.15,0.14,0.3,0.22,0.270526316,0.230714286,0.382,,,,,
,trash,0.07,0.06,0.11,0.09,0.13,0.09,1,0.08,0.03,0.14,0.13,0.1,0.1,0.13,-0.08,0.02,0.1,0.04,0.1,0.12,0.082105263,0.077692308,0.091666667,,,,,
,plate,-0.01,0.24,0.27,0.19,0.27,0.47,0.08,1,0.32,0.11,0.27,0.13,0.09,0.07,0.13,0.12,0.16,0.09,0.1,0.14,0.170526316,0.144166667,0.215714286,,,,,
,table,0.06,0.43,0.35,0.27,0.29,0.63,0.03,0.32,1,0.08,0.29,0.18,0.1,0.11,0.14,0.11,0.18,0.15,0.36,0.18,0.224210526,0.170909091,0.2975,,,,,
,crunch crunch,0.05,0.14,0.25,0.15,0.19,0.05,0.14,0.11,0.08,1,0.19,0.16,0.16,0.07,-0.01,0.04,0.26,0.23,0.08,0.22,0.134736842,0.14,0.128888889,,,,,
,crumbs,0.13,0.54,0.56,0.55,1,0.49,0.13,0.27,0.29,0.19,1,0.43,0.15,0.17,0.1,0.21,0.25,0.26,0.21,0.29,0.327368421,0.23,0.415,,,,,
,jelly,0.09,0.45,0.37,0.44,0.43,0.26,0.1,0.13,0.18,0.16,0.43,1,0.25,0.2,0.22,0.2,0.19,0.14,0.27,0.22,0.248947368,0.21125,0.276363636,,,,,
,sticky,0.09,0.17,0.25,0.23,0.15,0.14,0.1,0.09,0.1,0.16,0.15,0.25,1,0.2,0.22,0.27,0.19,0.18,0.16,0.13,0.17,0.192857143,0.156666667,,,,,
,water,0.07,0.12,0.15,0.11,0.17,0.04,0.13,0.07,0.11,0.07,0.17,0.2,0.2,1,0.45,0.41,0.27,0.3,0.05,0.17,0.171578947,0.275,0.123846154,,,,,
,sponge,-0.05,0.04,0.16,0.14,0.1,0.09,-0.08,0.13,0.14,-0.01,0.1,0.22,0.22,0.45,1,0.27,0.11,0.15,0.12,0.07,0.124736842,0.144,0.117857143,,,,,
,dry rack,0.13,0.19,0.21,0.15,0.21,0.16,0.02,0.12,0.11,0.04,0.21,0.2,0.27,0.41,0.27,1,0.35,0.42,0.1,0.26,0.201578947,0.2825,0.18,,,,,
,cold floor,0.07,0.3,0.2,0.17,0.25,0.15,0.1,0.16,0.18,0.26,0.25,0.19,0.19,0.27,0.11,0.35,1,0.75,0.35,0.5,0.252631579,0.533333333,0.2,,,,,
,warm carpet,0.13,0.31,0.19,0.16,0.26,0.14,0.04,0.09,0.15,0.23,0.26,0.14,0.18,0.3,0.15,0.42,0.75,1,0.19,0.4,0.236315789,0.295,0.229411765,,,,,
,couch,0.07,0.36,0.19,0.14,0.21,0.3,0.1,0.1,0.36,0.08,0.21,0.27,0.16,0.05,0.12,0.1,0.35,0.19,1,0.35,0.195263158,0.35,0.186666667,,,,,
,blanket,0.06,0.31,0.21,0.12,0.29,0.22,0.12,0.14,0.18,0.22,0.29,0.22,0.13,0.17,0.07,0.26,0.5,0.4,0.35,1,0.224210526,,0.224210526,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.219947368,0.239665511,0.261754548,,,,,
104,Document,toaster,bread,slice,butter,eggs,chicken,hen,cluck,rooster,farm,barn,red,paint,can,house,room,tv,clock,face,eye,,,,,,,0,
,toaster,1,0.21,0.05,0.21,0.09,0.14,0.07,0.07,0,0.03,0.04,0.07,0.03,0.19,0.05,0.06,0.17,0.09,0.01,0.01,0.083684211,0.083684211,,0.325263158,0.255,0.187058824,,
,bread,0.21,1,0.64,0.77,0.29,0.58,0.18,0.06,0.12,0.11,0.19,0.09,0.04,0.19,0.13,0.13,0.03,0.09,0.14,0.05,0.212631579,0.212777778,0.21,,,,,
,slice,0.05,0.64,1,0.56,0.18,0.5,0.17,0.09,0.1,0.03,0.15,0.13,0.05,0.3,0.12,0.13,0.05,0.1,0.2,0.22,0.198421053,0.181176471,0.345,,,,,
,butter,0.21,0.77,0.56,1,0.38,0.63,0.15,0.07,0.08,0.1,0.22,0.08,0.03,0.19,0.09,0.17,0.08,0.1,0.13,0.07,0.216315789,0.160625,0.513333333,,,,,
,eggs,0.09,0.29,0.18,0.38,1,0.53,0.44,0.04,0.1,0.05,0.11,0.04,0.05,0.14,0.05,0.05,0.02,0.05,0.04,0.04,0.141578947,0.116666667,0.235,,,,,
,chicken,0.14,0.58,0.5,0.63,0.53,1,0.52,0.25,0.24,0.17,0.35,0.26,0.08,0.25,0.19,0.17,0.11,0.14,0.2,0.13,0.286315789,0.218571429,0.476,,,,,
,hen,0.07,0.18,0.17,0.15,0.44,0.52,1,0.39,0.34,0.14,0.34,0.29,0.11,0.2,0.25,0.04,0.09,0.08,0.1,0.08,0.209473684,0.188461538,0.255,,,,,
,cluck,0.07,0.06,0.09,0.07,0.04,0.25,0.39,1,0.3,0.12,0.27,0.07,0.01,0.12,0.16,0.17,0.06,0.24,0.05,0.02,0.134736842,0.1325,0.138571429,,,,,
,rooster,0,0.12,0.1,0.08,0.1,0.24,0.34,0.3,1,0.14,0.34,0.07,0.05,0.1,0.14,0.04,0.07,0.11,0.1,0.06,0.131578947,0.110909091,0.16,,,,,
,farm,0.03,0.11,0.03,0.1,0.05,0.17,0.14,0.12,0.14,1,0.51,0.09,0.08,0.15,0.13,0.07,0.04,0.1,0.07,0.04,0.114210526,0.128,0.098888889,,,,,
,barn,0.04,0.19,0.15,0.22,0.11,0.35,0.34,0.27,0.34,0.51,1,0.22,0.11,0.16,0.37,0.18,0.07,0.19,0.22,0.15,0.220526316,0.185555556,0.252,,,,,
,red,0.07,0.09,0.13,0.08,0.04,0.26,0.29,0.07,0.07,0.09,0.22,1,0.28,0.19,0.12,0.13,0.08,0.08,0.25,0.17,0.142631579,0.1625,0.128181818,,,,,
,paint,0.03,0.04,0.05,0.03,0.05,0.08,0.11,0.01,0.05,0.08,0.11,0.28,1,0.22,0.15,0.15,0.1,0.11,0.1,0.08,0.096315789,0.13,0.076666667,,,,,
,can,0.19,0.19,0.3,0.19,0.14,0.25,0.2,0.12,0.1,0.15,0.16,0.19,0.22,1,0.2,0.24,0.27,0.12,0.27,0.27,0.198421053,0.228333333,0.184615385,,,,,
,house,0.05,0.13,0.12,0.09,0.05,0.19,0.25,0.16,0.14,0.13,0.37,0.12,0.15,0.2,1,0.29,0.12,0.13,0.21,0.1,0.157894737,0.17,0.153571429,,,,,
,room,0.06,0.13,0.13,0.17,0.05,0.17,0.04,0.17,0.04,0.07,0.18,0.13,0.15,0.24,0.29,1,0.2,0.27,0.31,0.16,0.155789474,0.235,0.134666667,,,,,
,tv,0.17,0.03,0.05,0.08,0.02,0.11,0.09,0.06,0.07,0.04,0.07,0.08,0.1,0.27,0.12,0.2,1,0.15,0.15,0.05,0.100526316,0.116666667,0.0975,,,,,
,clock,0.09,0.09,0.1,0.1,0.05,0.14,0.08,0.24,0.11,0.1,0.19,0.08,0.11,0.12,0.13,0.27,0.15,1,0.14,0.15,0.128421053,0.145,0.126470588,,,,,
,face,0.01,0.14,0.2,0.13,0.04,0.2,0.1,0.05,0.1,0.07,0.22,0.25,0.1,0.27,0.21,0.31,0.15,0.14,1,0.3,0.157368421,0.3,0.149444444,,,,,
,eye,0.01,0.05,0.22,0.07,0.04,0.13,0.08,0.02,0.06,0.04,0.15,0.17,0.08,0.27,0.1,0.16,0.05,0.15,0.3,1,0.113157895,,0.113157895,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.16,0.168759355,0.207495036,,,,,
105,Document,toaster,toast,bread,baegel,jam,breakfast,peanut butter,brave,little,mars,pop,ding,hot,warm,crunchy,hard,tasty,butter,cream cheese,toaster,,,,,,,2,
,toaster,1,0.33,0.21,N/A,0.2,0.17,0.19,-0.02,0.04,-0.01,0.08,0.08,0.17,0.12,0.1,0.03,0.08,0.21,0.16,1,0.174444444,0.174444444,,0.306470588,0.255625,0.222666667,,
,toast,0.33,1,0.59,N/A,0.65,0.76,0.59,-0.02,0.26,0.01,0.23,0.12,0.3,0.28,0.43,0.16,0.34,0.6,0.48,0.33,0.357777778,0.359411765,0.33,,,,,
,bread,0.21,0.59,1,N/A,0.56,0.51,0.77,0.05,0.22,0.02,0.21,0.02,0.18,0.18,0.55,0.17,0.45,0.77,0.71,0.21,0.354444444,0.34875,0.4,,,,,
,baegel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,
,jam,0.2,0.65,0.56,N/A,1,0.59,0.56,0.09,0.41,-0.01,0.33,0.19,0.31,0.19,0.41,0.19,0.41,0.58,0.54,0.2,0.355555556,0.332666667,0.47,,,,,
,breakfast,0.17,0.76,0.51,N/A,0.59,1,0.49,0.07,0.3,0.02,0.24,0.22,0.23,0.25,0.37,0.21,0.3,0.5,0.42,0.17,0.323333333,0.270714286,0.5075,,,,,
,peanut butter,0.19,0.59,0.77,N/A,0.56,0.49,1,0,0.16,0,0.24,0.01,0.19,0.13,0.62,0.16,0.48,0.98,0.8,0.19,0.364444444,0.304615385,0.52,,,,,
,brave,-0.02,-0.02,0.05,N/A,0.09,0.07,0,1,0.41,0.06,0.1,0.23,0.07,0.11,-0.01,0.26,0.1,-0.01,0.06,-0.02,0.085,0.113333333,0.028333333,,,,,
,little,0.04,0.26,0.22,N/A,0.41,0.3,0.16,0.41,1,0.04,0.32,0.22,0.21,0.24,0.13,0.42,0.18,0.15,0.16,0.04,0.217222222,0.191818182,0.257142857,,,,,
,mars,-0.01,0.01,0.02,N/A,-0.01,0.02,0,0.06,0.04,1,0.02,0.05,0.08,0.03,0,-0.01,0,-0.01,0.04,-0.01,0.017777778,0.019,0.01625,,,,,
,pop,0.08,0.23,0.21,N/A,0.33,0.24,0.24,0.1,0.32,0.02,1,0.18,0.26,0.07,0.14,0.26,0.15,0.22,0.25,0.08,0.187777778,0.178888889,0.196666667,,,,,
,ding,0.08,0.12,0.02,N/A,0.19,0.22,0.01,0.23,0.22,0.05,0.18,1,0.17,0.1,0.11,0.13,0.17,0.03,0.09,0.08,0.122222222,0.11,0.132,,,,,
,hot,0.17,0.3,0.18,N/A,0.31,0.23,0.19,0.07,0.21,0.08,0.26,0.17,1,0.51,0.25,0.22,0.23,0.2,0.18,0.17,0.218333333,0.251428571,0.197272727,,,,,
,warm,0.12,0.28,0.18,N/A,0.19,0.25,0.13,0.11,0.24,0.03,0.07,0.1,0.51,1,0.16,0.23,0.16,0.15,0.14,0.12,0.176111111,0.16,0.184166667,,,,,
,crunchy,0.1,0.43,0.55,N/A,0.41,0.37,0.62,-0.01,0.13,0,0.14,0.11,0.25,0.16,1,0.15,0.47,0.6,0.54,0.1,0.284444444,0.372,0.250769231,,,,,
