SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,sex,0.04,-0.01,0,0.03,0.03,0.01,N/A,0.03,0.02,0.08,0.01,0.02,0,0.02,0.01,0.02,0.03,0.01,0.02,1,0.020555556,,0.020555556,,,,
,,,,,,,,,,,,,,,,,,,,,,0.125906433,0.165375051,0.153987074,,,,
206,Document,table,bed,sex,pain,pleasure,loneliness,sadness,depression,death,father,mother,brother,laughter,dogs,peanut butter,sandwich,turkey,hunting,human,torture,,,,,,,0
,table,1,0.22,0.04,0.06,0.14,0.08,0.04,0.02,0.03,0.12,0.15,0.12,0.22,0.01,0.25,0.31,0.11,0,0.03,0.07,0.106315789,0.106315789,,0.255789474,0.181111111,0.137647059,
,bed,0.22,1,0.03,0.22,0.09,0.14,0.11,0.03,0.08,0.22,0.27,0.2,0.16,0.07,0.13,0.17,0.05,0.05,0.03,0.2,0.13,0.125,0.22,,,,
,sex,0.04,0.03,1,0.04,0.31,0.16,0.05,0.03,0.05,0.05,0.03,0,0.02,0.01,-0.01,-0.02,0,0.04,0.14,0.02,0.052105263,0.054117647,0.035,,,,
,pain,0.06,0.22,0.04,1,0.23,0.21,0.29,0.2,0.28,0.11,0.15,0.09,0.18,0.07,0.02,0.03,0.03,0.08,0.15,0.21,0.139473684,0.145625,0.106666667,,,,
,pleasure,0.14,0.09,0.31,0.23,1,0.47,0.49,0.15,0.18,0.19,0.17,0.22,0.37,0.1,0.1,0.14,0.03,0.11,0.25,0.41,0.218421053,0.225333333,0.1925,,,,
,loneliness,0.08,0.14,0.16,0.21,0.47,1,0.51,0.29,0.43,0.04,0.13,0.09,0.3,0.08,0.04,0.1,0.04,0.13,0.22,0.4,0.203157895,0.2,0.212,,,,
,sadness,0.04,0.11,0.05,0.29,0.49,0.51,1,0.25,0.29,0.22,0.19,0.22,0.35,0.06,0.01,-0.01,0,0.08,0.07,0.32,0.186315789,0.157692308,0.248333333,,,,
,depression,0.02,0.03,0.03,0.2,0.15,0.29,0.25,1,0.17,0.04,0.01,0.05,0.07,0.01,0.01,0.02,0.07,0.01,0.04,0.17,0.086315789,0.055833333,0.138571429,,,,
,death,0.03,0.08,0.05,0.28,0.18,0.43,0.29,0.17,1,0.08,0.1,0.13,0.26,0.07,0.06,0.05,0.03,0.11,0.21,0.37,0.156842105,0.133636364,0.18875,,,,
,father,0.12,0.22,0.05,0.11,0.19,0.04,0.22,0.04,0.08,1,0.55,0.47,0.21,0.07,0.09,0.08,0.11,0.14,0.02,0.03,0.149473684,0.177,0.118888889,,,,
,mother,0.15,0.27,0.03,0.15,0.17,0.13,0.19,0.01,0.1,0.55,1,0.41,0.22,0.11,0.17,0.2,0.07,0.06,0.06,0.09,0.165263158,0.154444444,0.175,,,,
,brother,0.12,0.2,0,0.09,0.22,0.09,0.22,0.05,0.13,0.47,0.41,1,0.39,0.08,0.14,0.17,0.1,0.1,0.05,0.15,0.167368421,0.1475,0.181818182,,,,
,laughter,0.22,0.16,0.02,0.18,0.37,0.3,0.35,0.07,0.26,0.21,0.22,0.39,1,0.12,0.17,0.19,0.06,0.1,0.1,0.36,0.202631579,0.157142857,0.229166667,,,,
,dogs,0.01,0.07,0.01,0.07,0.1,0.08,0.06,0.01,0.07,0.07,0.11,0.08,0.12,1,0.05,0.07,0.03,0.31,0.1,0.09,0.079473684,0.108333333,0.066153846,,,,
,peanut butter,0.25,0.13,-0.01,0.02,0.1,0.04,0.01,0.01,0.06,0.09,0.17,0.14,0.17,0.05,1,0.67,0.2,0,0.02,0.06,0.114736842,0.19,0.087857143,,,,
,sandwich,0.31,0.17,-0.02,0.03,0.14,0.1,-0.01,0.02,0.05,0.08,0.2,0.17,0.19,0.07,0.67,1,0.15,-0.03,0.01,0.11,0.126842105,0.06,0.144666667,,,,
,turkey,0.11,0.05,0,0.03,0.03,0.04,0,0.07,0.03,0.11,0.07,0.1,0.06,0.03,0.2,0.15,1,0.06,0.01,0.11,0.066315789,0.06,0.0675,,,,
,hunting,0,0.05,0.04,0.08,0.11,0.13,0.08,0.01,0.11,0.14,0.06,0.1,0.1,0.31,0,-0.03,0.06,1,0.18,0.08,0.084736842,0.13,0.079411765,,,,
,human,0.03,0.03,0.14,0.15,0.25,0.22,0.07,0.04,0.21,0.02,0.06,0.05,0.1,0.1,0.02,0.01,0.01,0.18,1,0.28,0.103684211,0.28,0.093888889,,,,
,torture,0.07,0.2,0.02,0.21,0.41,0.4,0.32,0.17,0.37,0.03,0.09,0.15,0.36,0.09,0.06,0.11,0.11,0.08,0.28,1,0.185789474,,0.185789474,,,,
,,,,,,,,,,,,,,,,,,,,,,0.136263158,0.140419706,0.143676304,,,,
207,Document,table,chair,seat,dinner,meal,cook,chef,hat,sun,field,sports,exercise,gym,protein,stretch,running,walking,class,study,test,,,,,,,0
,table,1,0.61,0.13,0.57,0.37,0.29,0.26,0.21,0.04,0.06,0.03,0,0.1,0.02,0.1,0.07,0.06,0.03,0.05,0.05,0.160526316,0.160526316,,0.293157895,0.191111111,0.162941176,
,chair,0.61,1,0.33,0.48,0.25,0.27,0.19,0.39,0.09,0.02,0.06,0.05,0.27,-0.01,0.14,0.15,0.24,0.09,0.1,0.03,0.197368421,0.174444444,0.61,,,,
,seat,0.13,0.33,1,0.21,0.11,0.07,0.11,0.31,0.07,0.09,0.09,0.01,0.24,0.01,0.24,0.21,0.3,0.24,0.06,0.08,0.153157895,0.144117647,0.23,,,,
,dinner,0.57,0.48,0.21,1,0.62,0.53,0.41,0.26,0.06,0.08,0.09,0.01,0.23,0.03,0.15,0.15,0.24,0.09,0.06,-0.01,0.224210526,0.1875,0.42,,,,
,meal,0.37,0.25,0.11,0.62,1,0.53,0.45,0.09,0.06,0.08,0.05,0.06,0.15,0.26,0.12,0.15,0.16,0.02,0.05,0.01,0.188947368,0.149333333,0.3375,,,,
,cook,0.29,0.27,0.07,0.53,0.53,1,0.43,0.14,0.09,0.07,0.06,0.03,0.09,0.09,0.12,0.14,0.09,0.05,0.06,-0.01,0.165263158,0.103571429,0.338,,,,
,chef,0.26,0.19,0.11,0.41,0.45,0.43,1,0.18,0.05,0.06,0.07,0.01,0.12,0.03,0.03,0.08,0.13,0.04,0.03,-0.04,0.138947368,0.060769231,0.308333333,,,,
,hat,0.21,0.39,0.31,0.26,0.09,0.14,0.18,1,0.12,0.06,0.04,0.03,0.16,-0.02,0.11,0.2,0.43,0.03,0.05,-0.01,0.146315789,0.1,0.225714286,,,,
,sun,0.04,0.09,0.07,0.06,0.06,0.09,0.05,0.12,1,0.11,0,0.02,0.07,0.01,0.18,0.13,0.14,0.02,0.06,0.01,0.07,0.068181818,0.0725,,,,
,field,0.06,0.02,0.09,0.08,0.08,0.07,0.06,0.06,0.11,1,0.26,0.02,0.13,0.02,0.11,0.2,0.13,0.03,0.22,0.04,0.094210526,0.116,0.07,,,,
,sports,0.03,0.06,0.09,0.09,0.05,0.06,0.07,0.04,0,0.26,1,0.38,0.47,0.02,0.18,0.33,0.14,0.14,0.05,0.06,0.132631579,0.196666667,0.075,,,,
,exercise,0,0.05,0.01,0.01,0.06,0.03,0.01,0.03,0.02,0.02,0.38,1,0.4,0.03,0.48,0.41,0.34,0.02,0.04,0.14,0.130526316,0.2325,0.056363636,,,,
,gym,0.1,0.27,0.24,0.23,0.15,0.09,0.12,0.16,0.07,0.13,0.47,0.4,1,0.01,0.33,0.37,0.39,0.33,0.06,0.13,0.213157895,0.231428571,0.2025,,,,
,protein,0.02,-0.01,0.01,0.03,0.26,0.09,0.03,-0.02,0.01,0.02,0.02,0.03,0.01,1,0.02,0.01,0.02,0,0.02,0.05,0.032631579,0.02,0.038461538,,,,
,stretch,0.1,0.14,0.24,0.15,0.12,0.12,0.03,0.11,0.18,0.11,0.18,0.48,0.33,0.02,1,0.42,0.39,0.02,0.08,0.11,0.175263158,0.204,0.165,,,,
,running,0.07,0.15,0.21,0.15,0.15,0.14,0.08,0.2,0.13,0.2,0.33,0.41,0.37,0.01,0.42,1,0.58,0.05,0.08,0.08,0.200526316,0.1975,0.201333333,,,,
,walking,0.06,0.24,0.3,0.24,0.16,0.09,0.13,0.43,0.14,0.13,0.14,0.34,0.39,0.02,0.39,0.58,1,0.07,0.08,0.05,0.209473684,0.066666667,0.23625,,,,
,class,0.03,0.09,0.24,0.09,0.02,0.05,0.04,0.03,0.02,0.03,0.14,0.02,0.33,0,0.02,0.05,0.07,1,0.14,0.11,0.08,0.125,0.074705882,,,,
,study,0.05,0.1,0.06,0.06,0.05,0.06,0.03,0.05,0.06,0.22,0.05,0.04,0.06,0.02,0.08,0.08,0.08,0.14,1,0.15,0.075789474,0.15,0.071666667,,,,
,test,0.05,0.03,0.08,-0.01,0.01,-0.01,-0.04,-0.01,0.01,0.04,0.06,0.14,0.13,0.05,0.11,0.08,0.05,0.11,0.15,1,0.054210526,,0.054210526,,,,
,,,,,,,,,,,,,,,,,,,,,,0.142157895,0.141484533,0.207407149,,,,
208,Document,table,leg,flat,chair,wood,brown,lazy susan,tan,fork,plastic,cup,placemat,plate,leaf,candle,brick,warm,turkey,food,drink,,,,,,,0
,table,1,0.14,0.13,0.61,0.15,0.12,0.15,0.1,0.42,0.09,0.44,0.32,0.32,0.06,0.28,0.06,0.09,0.11,0.08,0.12,0.199473684,0.199473684,,0.132631579,0.172777778,0.152941176,
,leg,0.14,1,0.15,0.26,0.14,0.12,0.08,0.16,0.16,0.11,0.22,0.13,0.15,0.06,0.03,0.06,0.1,0.08,0.09,0.07,0.121578947,0.120555556,0.14,,,,
,flat,0.13,0.15,1,0.14,0.29,0.2,0.06,0.15,0.18,0.31,0.17,-0.01,0.25,0.16,0.16,0.23,0.13,0.07,0.08,0.07,0.153684211,0.155294118,0.14,,,,
,chair,0.61,0.26,0.14,1,0.08,0.21,0.26,0.17,0.28,0.12,0.42,0.23,0.19,0.07,0.38,0.13,0.15,0.1,0.04,0.09,0.206842105,0.1825,0.336666667,,,,
,wood,0.15,0.14,0.29,0.08,1,0.08,0.08,0.07,0.17,0.39,0.19,-0.03,0.1,0.2,0.26,0.31,0.17,0.06,0.14,0.04,0.152105263,0.148666667,0.165,,,,
,brown,0.12,0.12,0.2,0.21,0.08,1,0.25,0.51,0.15,0.1,0.24,0.03,0.1,0.2,0.08,0.2,0.16,0.07,0.09,0.04,0.155263158,0.158571429,0.146,,,,
,lazy susan,0.15,0.08,0.06,0.26,0.08,0.25,1,0.13,0.1,-0.03,0.1,0.06,0.04,0.06,0.06,0.07,0.13,0.02,0.05,0.03,0.089473684,0.063076923,0.146666667,,,,
,tan,0.1,0.16,0.15,0.17,0.07,0.51,0.13,1,0.07,0.08,0.23,0.06,0.06,0.06,-0.01,0.22,0.2,0.02,0.13,0.04,0.128947368,0.096666667,0.184285714,,,,
,fork,0.42,0.16,0.18,0.28,0.17,0.15,0.1,0.07,1,0.18,0.45,0.15,0.34,0.09,0.18,0.03,0.08,0.1,0.14,0.15,0.18,0.171818182,0.19125,,,,
,plastic,0.09,0.11,0.31,0.12,0.39,0.1,-0.03,0.08,0.18,1,0.19,0.05,0.23,0.08,0.12,0.14,0.1,0.02,0.09,0.07,0.128421053,0.109,0.15,,,,
,cup,0.44,0.22,0.17,0.42,0.19,0.24,0.1,0.23,0.45,0.19,1,0.26,0.37,0.17,0.29,0.03,0.29,0.13,0.15,0.4,0.249473684,0.232222222,0.265,,,,
,placemat,0.32,0.13,-0.01,0.23,-0.03,0.03,0.06,0.06,0.15,0.05,0.26,1,0.15,-0.01,0.02,0.01,0.05,0.02,0.04,0.05,0.083157895,0.04125,0.113636364,,,,
,plate,0.32,0.15,0.25,0.19,0.1,0.1,0.04,0.06,0.34,0.23,0.37,0.15,1,0.07,0.1,0.09,0.07,0.07,0.1,0.08,0.151578947,0.082857143,0.191666667,,,,
,leaf,0.06,0.06,0.16,0.07,0.2,0.2,0.06,0.06,0.09,0.08,0.17,-0.01,0.07,1,0.09,0.03,0.09,0.03,0.22,0.05,0.093684211,0.085,0.097692308,,,,
,candle,0.28,0.03,0.16,0.38,0.26,0.08,0.06,-0.01,0.18,0.12,0.29,0.02,0.1,0.09,1,0.09,0.18,0.07,0.06,0.07,0.132105263,0.094,0.145714286,,,,
,brick,0.06,0.06,0.23,0.13,0.31,0.2,0.07,0.22,0.03,0.14,0.03,0.01,0.09,0.03,0.09,1,0.08,0.06,0.02,0.01,0.098421053,0.0425,0.113333333,,,,
,warm,0.09,0.1,0.13,0.15,0.17,0.16,0.13,0.2,0.08,0.1,0.29,0.05,0.07,0.09,0.18,0.08,1,0.07,0.18,0.13,0.128947368,0.126666667,0.129375,,,,
,turkey,0.11,0.08,0.07,0.1,0.06,0.07,0.02,0.02,0.1,0.02,0.13,0.02,0.07,0.03,0.07,0.06,0.07,1,0.11,0.04,0.065789474,0.075,0.064705882,,,,
,food,0.08,0.09,0.08,0.04,0.14,0.09,0.05,0.13,0.14,0.09,0.15,0.04,0.1,0.22,0.06,0.02,0.18,0.11,1,0.19,0.105263158,0.19,0.100555556,,,,
,drink,0.12,0.07,0.07,0.09,0.04,0.04,0.03,0.04,0.15,0.07,0.4,0.05,0.08,0.05,0.07,0.01,0.13,0.04,0.19,1,0.091578947,,0.091578947,,,,
,,,,,,,,,,,,,,,,,,,,,,0.135789474,0.125006277,0.156752691,,,,
209,Document,table,chairs,kitchen,beer pong,apartment,house,eating,food,plates,glasses,utensils,bowls,cooking,cleaning,stove,oven,microwave,refrigerator,dishwasher,coffee maker,,,,,,,0
,table,1,0.55,0.58,0.11,0.11,0.14,0.25,0.08,0.24,0.3,0.31,0.3,0.21,0.2,0.43,0.28,0.02,0.26,0.33,0.42,0.269473684,0.269473684,,0.335263158,0.282777778,0.279411765,
,chairs,0.55,1,0.59,0.12,0.38,0.35,0.16,0.08,0.18,0.34,0.3,0.36,0.19,0.3,0.51,0.23,0.03,0.24,0.22,0.35,0.288421053,0.273888889,0.55,,,,
,kitchen,0.58,0.59,1,0.14,0.35,0.4,0.27,0.14,0.23,0.34,0.41,0.31,0.47,0.32,0.75,0.54,0.11,0.57,0.5,0.53,0.397368421,0.375294118,0.585,,,,
,beer pong,0.11,0.12,0.14,1,0.09,0.1,0.1,0.06,0.03,0.28,0.09,0.15,0.09,0.05,0.14,0.14,0.03,0.13,0.07,0.35,0.119473684,0.11875,0.123333333,,,,
,apartment,0.11,0.38,0.35,0.09,1,0.4,0.08,0.05,0.03,0.19,0.05,0.08,0.04,0.19,0.19,0.06,0.05,0.17,0.16,0.16,0.148947368,0.126666667,0.2325,,,,
,house,0.14,0.35,0.4,0.1,0.4,1,0.11,0.07,0.08,0.15,0.08,0.14,0.17,0.2,0.32,0.17,0.04,0.18,0.16,0.16,0.18,0.145,0.278,,,,
,eating,0.25,0.16,0.27,0.1,0.08,0.11,1,0.65,0.15,0.15,0.35,0.18,0.43,0.13,0.18,0.2,0.11,0.3,0.23,0.24,0.224736842,0.253846154,0.161666667,,,,
,food,0.08,0.08,0.14,0.06,0.05,0.07,0.65,1,0.07,0.09,0.46,0.21,0.42,0.16,0.14,0.22,0.15,0.31,0.24,0.14,0.196842105,0.2175,0.161428571,,,,
,plates,0.24,0.18,0.23,0.03,0.03,0.08,0.15,0.07,1,0.1,0.15,0.18,0.1,0.14,0.17,0.2,0.1,0.13,0.18,0.19,0.139473684,0.149090909,0.12625,,,,
,glasses,0.3,0.34,0.34,0.28,0.19,0.15,0.15,0.09,0.1,1,0.24,0.25,0.19,0.31,0.32,0.19,0.02,0.22,0.3,0.31,0.225789474,0.235,0.215555556,,,,
,utensils,0.31,0.3,0.41,0.09,0.05,0.08,0.35,0.46,0.15,0.24,1,0.48,0.73,0.4,0.4,0.57,0.17,0.5,0.52,0.29,0.342105263,0.451111111,0.244,,,,
,bowls,0.3,0.36,0.31,0.15,0.08,0.14,0.18,0.21,0.18,0.25,0.48,1,0.42,0.24,0.32,0.31,0.02,0.19,0.27,0.35,0.250526316,0.265,0.24,,,,
,cooking,0.21,0.19,0.47,0.09,0.04,0.17,0.43,0.42,0.1,0.19,0.73,0.42,1,0.35,0.52,0.77,0.21,0.63,0.48,0.33,0.355263158,0.47,0.288333333,,,,
,cleaning,0.2,0.3,0.32,0.05,0.19,0.2,0.13,0.16,0.14,0.31,0.4,0.24,0.35,1,0.28,0.26,0.05,0.32,0.45,0.2,0.239473684,0.26,0.23,,,,
,stove,0.43,0.51,0.75,0.14,0.19,0.32,0.18,0.14,0.17,0.32,0.4,0.32,0.52,0.28,1,0.57,0.15,0.49,0.39,0.47,0.354736842,0.414,0.333571429,,,,
,oven,0.28,0.23,0.54,0.14,0.06,0.17,0.2,0.22,0.2,0.19,0.57,0.31,0.77,0.26,0.57,1,0.26,0.72,0.52,0.36,0.345789474,0.465,0.314,,,,
,microwave,0.02,0.03,0.11,0.03,0.05,0.04,0.11,0.15,0.1,0.02,0.17,0.02,0.21,0.05,0.15,0.26,1,0.19,0.14,0.1,0.102631579,0.143333333,0.095,,,,
,refrigerator,0.26,0.24,0.57,0.13,0.17,0.18,0.3,0.31,0.13,0.22,0.5,0.19,0.63,0.32,0.49,0.72,0.19,1,0.54,0.39,0.341052632,0.465,0.326470588,,,,
,dishwasher,0.33,0.22,0.5,0.07,0.16,0.16,0.23,0.24,0.18,0.3,0.52,0.27,0.48,0.45,0.39,0.52,0.14,0.54,1,0.34,0.317894737,0.34,0.316666667,,,,
,coffee maker,0.42,0.35,0.53,0.35,0.16,0.16,0.24,0.14,0.19,0.31,0.29,0.35,0.33,0.2,0.47,0.36,0.1,0.39,0.34,1,0.298947368,,0.298947368,,,,
,,,,,,,,,,,,,,,,,,,,,,0.256947368,0.286208151,0.267876452,,,,
210,Document,table,food,people,family,friends,happy,sleep,bed,pillow,comfortable,tired,lazy,nap,relax,calm,content,peaceful,smile,good,fine,,,,,,,0
,table,1,0.08,0.08,0.12,0.18,0.19,0.07,0.22,0.17,0.23,0.18,0.14,0.17,0.09,0.11,0.13,0.12,0.23,0.2,0.22,0.154210526,0.154210526,,0.343684211,0.263333333,0.229411765,
,food,0.08,1,0.29,0.13,0.08,0.09,0.14,0.04,0.03,0.16,0.18,0.1,0.1,0.11,0.06,0.15,0.1,0.07,0.21,0.11,0.117368421,0.119444444,0.08,,,,
,people,0.08,0.29,1,0.25,0.37,0.33,0.16,0.1,0.09,0.35,0.22,0.22,0.05,0.17,0.21,0.15,0.32,0.19,0.44,0.26,0.223684211,0.228235294,0.185,,,,
,family,0.12,0.13,0.25,1,0.33,0.29,0.11,0.1,0.05,0.24,0.14,0.14,0.09,0.09,0.06,0.06,0.12,0.12,0.19,0.17,0.147368421,0.14375,0.166666667,,,,
,friends,0.18,0.08,0.37,0.33,1,0.56,0.16,0.07,0.07,0.32,0.26,0.17,0.12,0.22,0.17,0.06,0.2,0.31,0.41,0.33,0.231052632,0.228666667,0.24,,,,
,happy,0.19,0.09,0.33,0.29,0.56,1,0.29,0.22,0.2,0.32,0.46,0.37,0.32,0.15,0.31,0.13,0.21,0.46,0.48,0.49,0.308947368,0.315,0.292,,,,
,sleep,0.07,0.14,0.16,0.11,0.16,0.29,1,0.72,0.62,0.33,0.68,0.32,0.42,0.22,0.25,0.08,0.11,0.15,0.26,0.17,0.276842105,0.333076923,0.155,,,,
,bed,0.22,0.04,0.1,0.1,0.07,0.22,0.72,1,0.81,0.38,0.48,0.23,0.47,0.09,0.27,0.05,0.09,0.2,0.2,0.18,0.258947368,0.2875,0.21,,,,
,pillow,0.17,0.03,0.09,0.05,0.07,0.2,0.62,0.81,1,0.4,0.42,0.22,0.32,0.17,0.35,0.06,0.09,0.32,0.19,0.16,0.249473684,0.245454545,0.255,,,,
,comfortable,0.23,0.16,0.35,0.24,0.32,0.32,0.33,0.38,0.4,1,0.45,0.32,0.22,0.28,0.31,0.19,0.21,0.31,0.49,0.39,0.310526316,0.317,0.303333333,,,,
,tired,0.18,0.18,0.22,0.14,0.26,0.46,0.68,0.48,0.42,0.45,1,0.44,0.41,0.45,0.39,0.09,0.22,0.36,0.44,0.37,0.349473684,0.352222222,0.347,,,,
,lazy,0.14,0.1,0.22,0.14,0.17,0.37,0.32,0.23,0.22,0.32,0.44,1,0.29,0.13,0.32,0.13,0.22,0.26,0.38,0.44,0.254736842,0.27125,0.242727273,,,,
,nap,0.17,0.1,0.05,0.09,0.12,0.32,0.42,0.47,0.32,0.22,0.41,0.29,1,0.12,0.11,0.08,0.08,0.17,0.24,0.26,0.212631579,0.151428571,0.248333333,,,,
,relax,0.09,0.11,0.17,0.09,0.22,0.15,0.22,0.09,0.17,0.28,0.45,0.13,0.12,1,0.27,0.05,0.11,0.22,0.26,0.14,0.175789474,0.175,0.176153846,,,,
,calm,0.11,0.06,0.21,0.06,0.17,0.31,0.25,0.27,0.35,0.31,0.39,0.32,0.11,0.27,1,0.06,0.28,0.39,0.23,0.24,0.231052632,0.24,0.227857143,,,,
,content,0.13,0.15,0.15,0.06,0.06,0.13,0.08,0.05,0.06,0.19,0.09,0.13,0.08,0.05,0.06,1,0.07,0.1,0.21,0.14,0.104736842,0.13,0.098,,,,
,peaceful,0.12,0.1,0.32,0.12,0.2,0.21,0.11,0.09,0.09,0.21,0.22,0.22,0.08,0.11,0.28,0.07,1,0.16,0.23,0.18,0.164210526,0.19,0.159375,,,,
,smile,0.23,0.07,0.19,0.12,0.31,0.46,0.15,0.2,0.32,0.31,0.36,0.26,0.17,0.22,0.39,0.1,0.16,1,0.43,0.44,0.257368421,0.435,0.236470588,,,,
,good,0.2,0.21,0.44,0.19,0.41,0.48,0.26,0.2,0.19,0.49,0.44,0.38,0.24,0.26,0.23,0.21,0.23,0.43,1,0.51,0.315789474,0.51,0.305,,,,
,fine,0.22,0.11,0.26,0.17,0.33,0.49,0.17,0.18,0.16,0.39,0.37,0.44,0.26,0.14,0.24,0.14,0.18,0.44,0.51,1,0.273684211,,0.273684211,,,,
,,,,,,,,,,,,,,,,,,,,,,0.230894737,0.254065221,0.218217621,,,,
211,Document,table,chair,dinner,family,coffee,homework,kitchen,dining room,placemat,desk,centerpiece,cloth,community,wood,set,plates,thanksgiving,christmas,easter,cousins,,,,,,,0
,table,1,0.61,0.57,0.12,0.43,0.18,0.58,0.51,0.32,0.22,0.65,0.11,0.01,0.15,0.28,0.24,0.22,0.14,0.1,0.16,0.294736842,0.294736842,,0.246315789,0.261666667,0.188823529,
,chair,0.61,1,0.48,0.11,0.42,0.32,0.66,0.76,0.23,0.49,0.34,0.13,0.04,0.08,0.22,0.14,0.23,0.09,0.08,0.22,0.297368421,0.28,0.61,,,,
,dinner,0.57,0.48,1,0.23,0.53,0.35,0.69,0.45,0.32,0.13,0.53,0.11,0,0.11,0.31,0.26,0.52,0.31,0.19,0.28,0.335263158,0.312941176,0.525,,,,
,family,0.12,0.11,0.23,1,0.08,0.12,0.16,0.15,0.16,0.03,0.13,0.09,0.2,0.04,0.15,0.04,0.16,0.18,0.12,0.65,0.153684211,0.15375,0.153333333,,,,
,coffee,0.43,0.42,0.53,0.08,1,0.19,0.52,0.34,0.22,0.24,0.33,0.19,0.03,0.1,0.26,0.17,0.23,0.24,0.18,0.14,0.254736842,0.225333333,0.365,,,,
,homework,0.18,0.32,0.35,0.12,0.19,1,0.34,0.28,0.24,0.43,0.12,0.03,0.02,0.06,0.18,0.05,0.22,0.13,0.08,0.1,0.181052632,0.162857143,0.232,,,,
,kitchen,0.58,0.66,0.69,0.16,0.52,0.34,1,0.69,0.36,0.23,0.46,0.15,0.03,0.17,0.24,0.23,0.43,0.2,0.15,0.25,0.344210526,0.276153846,0.491666667,,,,
,dining room,0.51,0.76,0.45,0.15,0.34,0.28,0.69,1,0.17,0.45,0.36,0.14,0.03,0.09,0.24,0.14,0.28,0.17,0.12,0.23,0.294736842,0.201666667,0.454285714,,,,
,placemat,0.32,0.23,0.32,0.16,0.22,0.24,0.36,0.17,1,0.06,0.24,0.08,0.1,-0.03,0.18,0.14,0.17,0.09,0.06,0.08,0.167894737,0.106363636,0.2525,,,,
,desk,0.22,0.49,0.13,0.03,0.24,0.43,0.23,0.45,0.06,1,0.07,0.07,0,0.08,0.17,0.03,0.06,0.06,0.04,0.06,0.153684211,0.064,0.253333333,,,,
,centerpiece,0.65,0.34,0.53,0.13,0.33,0.12,0.46,0.36,0.24,0.07,1,0.07,0.05,0.15,0.17,0.32,0.26,0.21,0.2,0.15,0.253157895,0.175555556,0.323,,,,
,cloth,0.11,0.13,0.11,0.09,0.19,0.03,0.15,0.14,0.08,0.07,0.07,1,0.05,0.33,0.14,0.05,0.15,0.14,0.07,0.14,0.117894737,0.13375,0.106363636,,,,
,community,0.01,0.04,0,0.2,0.03,0.02,0.03,0.03,0.1,0,0.05,0.05,1,0.05,0.12,0.01,0.07,0.06,0.02,0.07,0.050526316,0.057142857,0.046666667,,,,
,wood,0.15,0.08,0.11,0.04,0.1,0.06,0.17,0.09,-0.03,0.08,0.15,0.33,0.05,1,0.19,0.08,0.06,0.17,0.13,0.1,0.111052632,0.121666667,0.106153846,,,,
,set,0.28,0.22,0.31,0.15,0.26,0.18,0.24,0.24,0.18,0.17,0.17,0.14,0.12,0.19,1,0.16,0.28,0.22,0.22,0.16,0.204736842,0.208,0.203571429,,,,
,plates,0.24,0.14,0.26,0.04,0.17,0.05,0.23,0.14,0.14,0.03,0.32,0.05,0.01,0.08,0.16,1,0.12,0.06,0.06,0.08,0.125263158,0.08,0.137333333,,,,
,thanksgiving,0.22,0.23,0.52,0.16,0.23,0.22,0.43,0.28,0.17,0.06,0.26,0.15,0.07,0.06,0.28,0.12,1,0.47,0.3,0.27,0.236842105,0.346666667,0.21625,,,,
,christmas,0.14,0.09,0.31,0.18,0.24,0.13,0.2,0.17,0.09,0.06,0.21,0.14,0.06,0.17,0.22,0.06,0.47,1,0.46,0.24,0.191578947,0.35,0.172941176,,,,
,easter,0.1,0.08,0.19,0.12,0.18,0.08,0.15,0.12,0.06,0.04,0.2,0.07,0.02,0.13,0.22,0.06,0.3,0.46,1,0.19,0.145789474,0.19,0.143333333,,,,
,cousins,0.16,0.22,0.28,0.65,0.14,0.1,0.25,0.23,0.08,0.06,0.15,0.14,0.07,0.1,0.16,0.08,0.27,0.24,0.19,1,0.187894737,,0.187894737,,,,
,,,,,,,,,,,,,,,,,,,,,,0.205105263,0.196872863,0.266262915,,,,
212,Document,table,chair,tablecloth,dinner,seat,turning,sitting,furniture,wood,utensil,vase,candle,leg,lunch,breakfast,holiday,gather,prayer,home,room,,,,,,,0
,table,1,0.61,0.64,0.57,0.13,0.18,0.4,0.32,0.15,0.14,0.32,0.28,0.14,0.27,0.43,0.14,0.11,0.06,0.13,0.44,0.287368421,0.287368421,,0.315789474,0.226111111,0.201764706,
,chair,0.61,1,0.47,0.48,0.33,0.3,0.71,0.4,0.08,0.11,0.45,0.38,0.26,0.3,0.41,0.11,0.13,0.18,0.22,0.75,0.351578947,0.337222222,0.61,,,,
,tablecloth,0.64,0.47,1,0.61,0.12,0.12,0.35,0.25,0.13,0.1,0.33,0.31,0.12,0.32,0.45,0.28,0.09,0.05,0.15,0.36,0.276315789,0.243529412,0.555,,,,
,dinner,0.57,0.48,0.61,1,0.21,0.25,0.54,0.22,0.11,0,0.26,0.22,0.18,0.6,0.65,0.33,0.2,0.1,0.5,0.38,0.337368421,0.296875,0.553333333,,,,
,seat,0.13,0.33,0.12,0.21,1,0.44,0.49,0.08,0.05,0.02,0.09,0.09,0.22,0.29,0.2,0.18,0.09,0.15,0.18,0.22,0.188421053,0.186,0.1975,,,,
,turning,0.18,0.3,0.12,0.25,0.44,1,0.43,0.13,0.16,0.06,0.13,0.22,0.17,0.17,0.15,0.26,0.25,0.24,0.28,0.25,0.220526316,0.207142857,0.258,,,,
